x,y,r,building,road,none,f1,f2,f3
261.0,303.0,20.0,0.0,0.69,0.31,0.0,82.17391204833984,47.860591888427734
151.0,591.0,20.0,0.58,0.13,0.29,0.0,28.968280792236328,55.85973358154297
92.0,238.0,20.0,0.99,0.0,0.0,0.0,24.730884552001953,74.21417999267578
191.0,172.0,20.0,0.0,0.33,0.67,0.0,97.4333724975586,88.62281799316406
80.0,682.0,20.0,0.02,0.26,0.72,0.0,67.71674346923828,24.350738525390625
225.0,393.0,20.0,0.0,1.0,0.0,0.0,157.426025390625,104.48267364501953
32.0,152.0,20.0,0.0,0.14,0.86,0.0,41.70435333251953,12.128019332885742
98.0,424.0,20.0,1.0,0.0,0.0,0.0,25.65129280090332,69.65526580810547
309.0,410.0,20.0,0.0,0.09,0.91,0.0,17.441967010498047,7.360474586486816
227.0,119.0,20.0,0.0,1.0,0.0,0.0,157.3682861328125,104.41924285888672
238.0,426.0,20.0,0.0,1.0,0.0,0.0,157.3682861328125,104.41924285888672
31.0,217.0,20.0,0.0,0.0,1.0,0.0,3.645507574081421,3.0870285034179688
200.0,207.0,20.0,0.27,0.44,0.29,0.0,101.41056060791016,15.305723190307617
211.0,589.0,20.0,0.0,0.83,0.17,0.0,185.91018676757812,134.22767639160156
314.0,394.0,20.0,0.0,0.09,0.91,0.0,11.850818634033203,6.71921443939209
146.0,556.0,20.0,0.97,0.0,0.03,0.0,19.070722579956055,54.8514518737793
339.0,254.0,20.0,0.58,0.2,0.22,0.0,5.009100437164307,8.598146438598633
359.0,385.0,20.0,0.44,0.02,0.54,0.0,2.860058546066284,25.076278686523438
220.0,149.0,20.0,0.0,0.91,0.09,0.0,209.09503173828125,152.5289764404297
344.0,464.0,20.0,0.0,0.28,0.72,0.0,55.972068786621094,14.312969207763672
285.0,509.0,20.0,0.0,0.3,0.7,0.0,43.88378143310547,29.429597854614258
119.0,583.0,20.0,1.0,0.0,0.0,0.0,25.65129280090332,69.65526580810547
242.0,395.0,20.0,0.0,1.0,0.0,0.0,157.3682861328125,104.41924285888672
375.0,444.0,20.0,0.84,0.06,0.1,0.0,19.989360809326172,42.27455139160156
381.0,497.0,20.0,0.18,0.26,0.56,0.0,29.404300689697266,23.961139678955078
398.0,655.0,20.0,1.0,0.0,0.0,0.0,26.532581329345703,70.13488006591797
260.0,461.0,20.0,0.0,0.73,0.27,0.0,91.08553314208984,52.96546936035156
97.0,489.0,20.0,0.7,0.02,0.28,0.0,34.612369537353516,69.5305404663086
63.0,339.0,20.0,0.28,0.18,0.53,0.0,19.488033294677734,23.49000358581543
237.0,599.0,20.0,0.0,1.0,0.0,0.0,157.3682861328125,104.41924285888672
157.0,685.0,20.0,0.0,0.01,0.99,0.0,11.793966293334961,3.867560386657715
116.0,230.0,20.0,1.0,0.0,0.0,0.0,25.65129280090332,69.65526580810547
230.0,274.0,20.0,0.0,1.0,0.0,0.0,157.3682861328125,104.41924285888672
