x,y,r,building,road,none,f1,f2,f3
439.0,1796.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
286.0,1971.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
837.0,1171.0,75.0,0.0,0.9,0.1,0.0,118.69535064697266,85.96627044677734
113.0,1031.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
1038.0,1460.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
1082.0,282.0,75.0,0.0,0.82,0.18,0.0,106.03524017333984,69.22246551513672
915.0,650.0,75.0,0.0,0.02,0.98,0.0,10.068143844604492,0.9757490754127502
1533.0,548.0,75.0,0.0,0.63,0.37,0.0,71.87446594238281,42.93869400024414
261.0,235.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
1856.0,586.0,75.0,0.0,0.06,0.94,0.0,13.613334655761719,1.159853458404541
1797.0,1119.0,75.0,0.0,0.57,0.43,0.0,60.548912048339844,44.78755187988281
1588.0,1903.0,75.0,0.17,0.34,0.5,0.0,52.23015213012695,59.97962951660156
220.0,241.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
606.0,660.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
745.0,298.0,75.0,0.0,0.04,0.96,0.0,10.913223266601562,0.4860730767250061
532.0,1132.0,75.0,0.0,0.09,0.91,0.0,28.325828552246094,31.739389419555664
1317.0,275.0,75.0,0.0,0.34,0.66,0.0,126.16899108886719,29.780420303344727
1737.0,820.0,75.0,0.0,0.0,1.0,0.0,1.4391971826553345,0.6646068692207336
861.0,1331.0,75.0,0.0,1.0,0.0,0.0,157.3682861328125,104.41924285888672
732.0,902.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
633.0,915.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
165.0,386.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
1344.0,862.0,75.0,0.0,0.65,0.35,0.0,98.4472427368164,81.46416473388672
310.0,1720.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
