x,y,r,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
145,171,25,0.06564298,0.16235164,0.1629452,0.15919897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18011533,0.0,0.0,0.21391463,0.055831272
75,329,25,0.059806462,0.24612407,0.14795189,0.0,0.0,0.0,0.0,0.08309929,0.0,0.0,0.084768586,0.011547587,0.0,0.0,0.20250838,0.1641937
446,459,25,0.008338584,0.14239903,0.17760657,0.0,0.0,0.0,0.0,0.13446708,0.0,0.0,0.09387878,0.0534044,0.0,0.0,0.16661446,0.22329111
396,288,25,0.018523222,0.16364989,0.15415896,0.0,0.0,0.0,0.0,0.14208828,0.0,0.005660449,0.12538458,0.033557277,0.0,0.0,0.14980221,0.20717515
351,174,25,0.0,0.0,0.08970487,0.04008526,0.0,0.0017808718,0.0,0.022517564,0.0,0.0,0.09480088,0.323609,0.0,0.0,0.09141584,0.3360858
202,553,25,0.0,0.0,0.04656323,0.0,0.0,0.0,0.0,0.081600815,0.0,0.0,0.27979213,0.23679674,0.0,0.0,0.08398293,0.27126417
359,234,25,0.014620102,0.15607078,0.156809,0.0,0.0,0.0,0.0,0.14384556,0.0,0.0042851605,0.1258209,0.039324265,0.0,0.0,0.14951959,0.2097047
395,420,25,0.016680492,0.1600631,0.1562532,0.0,0.0,0.0,0.0,0.14245707,0.0,0.004786309,0.12446367,0.03625901,0.0,0.0,0.15025768,0.20877956
101,439,25,0.013478143,0.15301302,0.17066787,0.0,0.0,0.0,0.0,0.13394623,0.0,0.0,0.10153354,0.045236204,0.0,0.0,0.16468146,0.21744353
222,506,25,0.0,0.0,0.044024322,0.0,0.0,0.0,0.0,0.036616452,0.0,0.0,0.22867797,0.2980426,0.0,0.0,0.07304533,0.31959337
262,188,25,0.0,0.0,0.05864969,0.14689443,0.0,0.06455158,0.0,0.0,0.0,0.013143806,0.07331216,0.32441434,0.0,0.0,0.009948903,0.30908513
401,554,25,0.0,0.007367456,0.21431784,0.0361625,0.0,0.0,0.0,0.107721545,0.0,0.0,0.020182429,0.17414263,0.0,0.0,0.17784217,0.26226345
266,401,25,0.0,0.0,0.05217767,0.02605361,0.0,0.01451788,0.0,0.0054609864,0.0,0.0,0.15166907,0.33395785,0.0,0.0,0.046359528,0.3698034
54,670,25,0.0,0.0,0.061819643,0.0,0.0,0.0,0.0,0.1334118,0.0,0.0,0.27793536,0.17761171,0.0,0.0,0.095072165,0.2541493
320,685,25,0.0,0.0,0.06463443,0.0,0.0,0.0,0.0,0.07654717,0.0,0.0,0.25364608,0.23591825,0.0,0.0,0.09864273,0.2706113
426,362,25,0.0,0.0,0.12154557,0.04727789,0.0,0.0,0.0,0.046308577,0.0,0.0,0.10287497,0.28929114,0.0,0.0,0.13125762,0.26144427
52,272,25,0.0,0.1261284,0.07793636,0.0,0.0,0.0,0.0,0.18671592,0.0,0.0,0.341805,0.039716534,0.0,0.0,0.03778137,0.18991636
223,556,25,0.0,0.0,0.055969488,0.007241587,0.0,0.0041222125,0.0,0.024096208,0.0,0.0,0.15462716,0.31986552,0.0,0.0,0.06295647,0.37112135
205,532,25,0.0,0.0,0.043371543,0.0,0.0,0.0,0.0,0.0622673,0.0,0.0,0.2622205,0.26207677,0.0,0.0,0.0781774,0.29188645
204,246,25,0.0,0.0,0.019917212,0.0,0.0,0.0055950475,0.0,0.029691072,0.0,0.0,0.258843,0.2878458,0.0,0.0,0.034823526,0.36328432
141,174,25,0.06407366,0.14895971,0.1643226,0.16594495,0.0,0.0,0.0,0.0,0.0,0.0017253886,0.0,0.18259165,0.0,0.0,0.20841895,0.06396305
92,215,25,0.0,0.13716185,0.10317727,0.0,0.0,0.0,0.0,0.18890677,0.0,0.0,0.27437073,0.02859151,0.0,0.0,0.064479485,0.20331244
195,240,25,0.0,0.144867,0.13970245,0.0,0.0,0.0,0.0,0.14544024,0.0,0.0,0.20061556,0.044785492,0.0,0.0,0.12200556,0.20258364
