x,y,r,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
175,234,75,0.059413895,0.33073384,0.18628988,0.0,0.008302138,0.0,0.0,0.0,0.0,0.0,0.0,0.059791505,0.0,0.0,0.27145195,0.08401684
674,297,75,0.059413895,0.33073384,0.18628988,0.0,0.008302138,0.0,0.0,0.0,0.0,0.0,0.0,0.059791505,0.0,0.0,0.27145195,0.08401684
1487,1920,75,0.10883407,0.31200963,0.13330151,0.005958051,0.0,0.0,0.0,0.02113885,0.0,0.0,0.051854677,0.010889785,0.0,0.0,0.24920471,0.10680868
1730,739,75,0.059413895,0.33073384,0.18628988,0.0,0.008302138,0.0,0.0,0.0,0.0,0.0,0.0,0.059791505,0.0,0.0,0.27145195,0.08401684
1589,775,75,0.0,0.0,0.047205444,0.092643745,0.0,0.04362109,0.0,0.0,0.0,0.0,0.12788965,0.3457845,0.0,0.0,0.01973677,0.32311884
635,1146,75,0.0,0.0,0.0,0.045006014,0.0,0.049966928,0.0,0.0036376459,0.0,0.0,0.3494767,0.25530785,0.0,0.0,0.0,0.29660487
1697,968,75,0.0,0.0,0.047747623,0.16357905,0.0,0.07052375,0.0,0.0,0.0,0.03944325,0.110952124,0.31040132,0.0,0.0,0.0,0.25735283
694,470,75,0.059413895,0.33073384,0.18628988,0.0,0.008302138,0.0,0.0,0.0,0.0,0.0,0.0,0.059791505,0.0,0.0,0.27145195,0.08401684
1126,1546,75,0.0,0.21614453,0.058282703,0.0,0.0,0.0,0.0,0.18427266,0.0,0.016000101,0.3240558,0.0,0.0,0.0,0.03531046,0.16593376
654,171,75,0.059413895,0.33073384,0.18628988,0.0,0.008302138,0.0,0.0,0.0,0.0,0.0,0.0,0.059791505,0.0,0.0,0.27145195,0.08401684
1148,515,75,0.0,0.0,0.1027994,0.057814546,0.0,0.0025099495,0.0,0.03470388,0.0,0.0,0.07911426,0.31112507,0.0,0.0,0.086943366,0.32498953
193,1885,75,0.059413895,0.33073384,0.18628988,0.0,0.008302138,0.0,0.0,0.0,0.0,0.0,0.0,0.059791505,0.0,0.0,0.27145195,0.08401684
1601,1278,75,0.059413895,0.33073384,0.18628988,0.0,0.008302138,0.0,0.0,0.0,0.0,0.0,0.0,0.059791505,0.0,0.0,0.27145195,0.08401684
1463,80,75,0.04427345,0.038151365,0.12133652,0.24201104,0.0015677961,0.07105489,0.0,0.0,0.0,0.08667063,0.009211699,0.17109004,0.0,0.0,0.07570693,0.13892572
157,1699,75,0.059413895,0.33073384,0.18628988,0.0,0.008302138,0.0,0.0,0.0,0.0,0.0,0.0,0.059791505,0.0,0.0,0.27145195,0.08401684
94,2039,75,0.059413895,0.33073384,0.18628988,0.0,0.008302138,0.0,0.0,0.0,0.0,0.0,0.0,0.059791505,0.0,0.0,0.27145195,0.08401684
1172,550,75,0.0,0.0,0.13741823,0.08928674,0.0,0.0,0.0,0.031673595,0.0,0.0,0.059535615,0.30387458,0.0,0.0,0.10992997,0.26828134
